DateTime;PM10;Vel Viento;Dir Viento;Temperatura;Temperatura 8M;Temperatura 20M;HR;Presion Baro;Rad Solar;Precipitacion;OZONO;NO;NO2;NOX;PM2.5;CO;SO2
1/01/2023 1:00;42;0,3;283;12,2;11,7;----;86,94;564;0;0;1,4;6,5;16,4;22,8;36;0,7;----
1/01/2023 2:00;55;0,5;294;12;11,5;----;86,97;564;0;0;4;2,8;9,6;12,5;38;0,5;----
1/01/2023 3:00;50;0,4;321;11,3;10,8;----;86,58;563;0;0;2;4,9;8,7;13,6;32;0,5;----
1/01/2023 4:00;48;0,3;303;11,3;10,8;----;86,76;563;0;0;1,9;3;6,9;9,8;40;0,4;----
1/01/2023 5:00;48;0,3;345;10,9;10,5;----;86,68;563;0;0;1,2;8,9;6,5;15,3;39;0,5;----
1/01/2023 6:00;43;0,3;262;11,2;10,7;----;86,93;564;0;0;1;4,7;6,1;10,8;38;0,4;----
1/01/2023 7:00;44;0,3;317;11,1;10,8;----;86,77;564;13;0;1,4;10;5,8;15,8;31;0,5;----
1/01/2023 8:00;41;0,3;309;12,9;15,7;----;87,63;565;165;0;5,5;10,2;4,5;14,7;32;0,5;----
1/01/2023 9:00;62;1,1;330;15,8;19;----;79,48;565;387;0;17,3;3;2,8;5,9;49;0,3;----
1/01/2023 10:00;58;1,2;346;16,6;16,7;----;67,03;565;189;0;20,7;1,2;2;3,2;49;0,2;----
1/01/2023 11:00;31;0,7;357;19,5;19,4;----;56,31;565;363;0;24,7;----;----;----;27;0,1;----
1/01/2023 12:00;20;1,2;57;21,6;21;----;43,63;564;515;0;25,4;----;----;----;14;0,1;----
1/01/2023 13:00;23;1,1;58;22,2;21,6;----;41,86;564;505;0;26,6;----;----;----;12;0,1;----
1/01/2023 14:00;20;1,5;306;22,5;22,3;----;37,22;563;555;0,1;29,8;----;----;----;11;0,1;----
1/01/2023 15:00;19;3,5;272;20,9;20,4;----;47,36;562;448;0;33,8;----;----;----;8;0,1;----
1/01/2023 16:00;20;3,3;267;20;19,7;----;53,06;562;354;0;31,6;----;----;----;20;0,1;----
1/01/2023 17:00;31;1,6;231;17,5;17;----;60,4;562;77;0;28,2;0,2;0,5;0,7;16;0,1;----
1/01/2023 18:00;20;1;193;15,6;15;----;66,95;563;0;0,2;24,9;0;1,3;1,2;17;0,1;----
